review_id,user_id,movie_id,source_viewing_id,rating,review_title,review_text,reviewed_at,sentiment_label,contains_spoiler,helpful_votes,review_language
URV000001,USR0001,MOV0035,VEW000001,4.5,다시 보고 싶은 “잿빛 파도: 정원”,몰입감이 좋고 마지막 장면의 여운이 길었다.,2026-04-18T02:26:16Z,positive,false,80,ko
URV000002,USR0001,MOV0180,VEW000002,4,다시 보고 싶은 “겨울 지도: 교차점”,배우들의 호흡과 음악이 잘 어우러져 다시 보고 싶다.,2026-02-14T00:16:02Z,positive,false,213,en
URV000003,USR0001,MOV0100,VEW000003,3,장단점이 뚜렷한 Horror,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2025-01-22T17:34:14Z,neutral,false,189,ko
URV000004,USR0001,MOV0101,VEW000004,1.5,아쉬움이 남은 파도의 불씨: 기록,기대했던 긴장감이 부족해 집중하기 어려웠다.,2023-11-17T15:54:56Z,negative,false,228,ko
URV000005,USR0002,MOV0128,VEW000013,2.5,장단점이 뚜렷한 Animation,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-02-06T00:26:30Z,neutral,false,349,ko
URV000006,USR0002,MOV0170,VEW000014,1,아쉬움이 남은 빈 프리즘: 교차점,기대했던 긴장감이 부족해 집중하기 어려웠다.,2026-03-21T02:11:14Z,negative,false,64,fr
URV000007,USR0002,MOV0191,VEW000015,1.5,아쉬움이 남은 진홍 항구: 기록,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2025-12-25T15:13:06Z,negative,false,341,ko
URV000008,USR0002,MOV0079,VEW000016,4,다시 보고 싶은 “메아리 항구: 몽상”,배우들의 호흡과 음악이 잘 어우러져 다시 보고 싶다.,2026-02-01T17:05:28Z,positive,false,155,ko
URV000009,USR0003,MOV0094,VEW000025,2.5,장단점이 뚜렷한 Science Fiction,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-05-07T19:13:31Z,neutral,false,31,en
URV000010,USR0003,MOV0003,VEW000026,2.5,장단점이 뚜렷한 Thriller,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-03-30T10:36:53Z,neutral,false,303,ko
URV000011,USR0003,MOV0161,VEW000027,3,장단점이 뚜렷한 Drama,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2025-07-11T00:30:36Z,neutral,false,209,ko
URV000012,USR0003,MOV0099,VEW000028,4.5,다시 보고 싶은 “까마귀 첨탑: 몽상”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2025-06-14T02:39:07Z,positive,false,217,ko
URV000013,USR0004,MOV0186,VEW000037,2.5,장단점이 뚜렷한 Action,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-07-14T18:19:17Z,neutral,true,264,ko
URV000014,USR0004,MOV0064,VEW000038,2.5,장단점이 뚜렷한 Science Fiction,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-05-10T04:25:34Z,neutral,false,104,ko
URV000015,USR0004,MOV0095,VEW000039,2.5,장단점이 뚜렷한 Romance,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-07-21T15:03:00Z,neutral,false,266,ko
URV000016,USR0004,MOV0138,VEW000040,3.5,장단점이 뚜렷한 Animation,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-04-21T14:06:15Z,neutral,false,349,ko
URV000017,USR0005,MOV0004,VEW000049,2.5,장단점이 뚜렷한 Science Fiction,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2025-06-04T06:37:09Z,neutral,false,119,ko
URV000018,USR0005,MOV0097,VEW000050,4,다시 보고 싶은 “까마귀 첨탑: 연대기”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2026-02-20T04:35:11Z,positive,false,299,ko
URV000019,USR0005,MOV0189,VEW000051,3.5,장단점이 뚜렷한 Fantasy,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-07-12T21:05:45Z,neutral,false,35,de
URV000020,USR0005,MOV0194,VEW000052,3.5,장단점이 뚜렷한 Science Fiction,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-05-03T08:29:57Z,neutral,false,102,ko
URV000021,USR0006,MOV0090,VEW000061,1.5,아쉬움이 남은 빛의 수호자: 교차점,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2026-07-15T06:09:53Z,negative,false,334,ko
URV000022,USR0006,MOV0079,VEW000062,4,다시 보고 싶은 “메아리 항구: 몽상”,몰입감이 좋고 마지막 장면의 여운이 길었다.,2025-12-03T21:16:55Z,positive,false,297,ko
URV000023,USR0006,MOV0018,VEW000063,4,다시 보고 싶은 “푸른 궤도: 별자리”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2024-11-03T17:27:15Z,positive,false,302,ko
