critic_review_id,critic_id,movie_id,score_100,letter_grade,review_title,review_text,reviewed_at,verdict,recommended,top_pick
CRV00001,CRT001,MOV0054,61,C,"Nimbria Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2017-02-16T19:10:10Z,mixed,false,false
CRV00002,CRT001,MOV0075,44,D,Echohaven Garden: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2021-04-13T17:50:52Z,negative,false,false
CRV00003,CRT001,MOV0033,79,B,"Cinderwake Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2017-11-02T05:26:40Z,mixed,true,false
CRV00004,CRT001,MOV0026,64,C,"Moonforge Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2005-09-12T17:07:16Z,mixed,false,false
CRV00005,CRT001,MOV0116,66,C+,"Novafield Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2024-05-12T13:34:10Z,mixed,false,false
CRV00006,CRT001,MOV0063,73,B-,"Orion Vale Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2008-09-22T03:41:17Z,mixed,true,false
CRV00007,CRT001,MOV0111,77,B,"Novafield Archive: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2022-07-04T18:52:34Z,mixed,true,false
CRV00008,CRT001,MOV0055,78,B,"Nimbria Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2023-08-13T07:14:48Z,mixed,true,false
CRV00009,CRT001,MOV0139,50,D,Morrowglass Reverie: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2013-07-14T01:28:29Z,negative,false,false
CRV00010,CRT001,MOV0175,89,A-,Winter Atlas Garden: a confident romance achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2022-10-21T14:22:13Z,positive,true,false
CRV00011,CRT001,MOV0156,71,B-,"Amber Circuit Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2024-07-06T15:38:04Z,mixed,true,false
CRV00012,CRT001,MOV0087,85,A-,Lumenward Chronicle: a confident documentary achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2026-01-04T04:01:28Z,positive,true,false
CRV00013,CRT001,MOV0004,67,C+,"Asterfall Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2018-10-09T11:10:33Z,mixed,false,false
CRV00014,CRT002,MOV0197,80,B+,Crimson Harbor Chronicle: a confident documentary achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2023-09-09T01:51:37Z,positive,true,false
CRV00015,CRT002,MOV0184,70,B-,"Jade Frequency Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2022-10-15T14:24:51Z,mixed,true,false
CRV00016,CRT002,MOV0095,76,B,"Ravenspire Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2002-07-08T13:55:25Z,mixed,true,false
CRV00017,CRT002,MOV0057,81,B+,Nimbria Chronicle: a confident documentary achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2026-01-11T04:26:10Z,positive,true,false
CRV00018,CRT002,MOV0073,89,A-,Echohaven Voyage: a confident thriller achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2011-08-10T02:39:05Z,positive,true,false
CRV00019,CRT002,MOV0190,63,C,"Jade Frequency Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2003-04-20T15:15:25Z,mixed,false,false
CRV00020,CRT002,MOV0113,75,B,"Novafield Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2003-11-11T16:39:23Z,mixed,true,false
CRV00021,CRT002,MOV0195,86,A-,Crimson Harbor Garden: a confident romance achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2017-07-13T15:25:16Z,positive,true,false
CRV00022,CRT002,MOV0154,51,D,Amber Circuit Protocol: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2022-08-25T03:52:05Z,negative,false,false
CRV00023,CRT002,MOV0072,89,A-,Echohaven Signal: a confident comedy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2024-03-26T04:56:33Z,positive,true,false
CRV00024,CRT002,MOV0103,81,B+,Tidal Ember Voyage: a confident thriller achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2014-03-09T23:02:49Z,positive,true,false
CRV00025,CRT002,MOV0041,87,A-,Solivane Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2026-04-18T21:23:22Z,positive,true,false
CRV00026,CRT002,MOV0194,79,B,"Crimson Harbor Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2020-12-07T13:07:01Z,mixed,true,false
CRV00027,CRT003,MOV0143,60,C,"Silver Meridian Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2013-02-05T03:51:42Z,mixed,false,false
CRV00028,CRT003,MOV0031,89,A-,Cinderwake Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2021-10-26T20:32:37Z,positive,true,false
CRV00029,CRT003,MOV0051,66,C+,"Nimbria Archive: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-12-21T18:47:10Z,mixed,false,false
CRV00030,CRT003,MOV0178,52,D,Winter Atlas Constellation: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",1999-08-28T13:41:35Z,negative,false,false
CRV00031,CRT003,MOV0164,51,D,Hollow Prism Protocol: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2021-05-08T04:29:56Z,negative,false,false
CRV00032,CRT003,MOV0071,84,B+,Echohaven Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2025-07-13T21:16:02Z,positive,true,false
CRV00033,CRT003,MOV0087,66,C+,"Lumenward Chronicle: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-12-05T14:28:34Z,mixed,false,false
CRV00034,CRT003,MOV0018,72,B-,"Velora Constellation: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2001-07-05T12:04:31Z,mixed,true,false
CRV00035,CRT003,MOV0170,52,D,Hollow Prism Crossing: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2022-12-14T05:10:48Z,negative,false,false
CRV00036,CRT003,MOV0030,61,C,"Moonforge Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2013-09-26T19:31:02Z,mixed,false,false
CRV00037,CRT003,MOV0074,78,B,"Echohaven Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2009-11-09T11:33:33Z,mixed,true,false
CRV00038,CRT003,MOV0053,78,B,"Nimbria Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2013-02-01T20:08:56Z,mixed,true,false
CRV00039,CRT003,MOV0086,89,A-,Lumenward Paradox: a confident action achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2005-04-03T22:29:24Z,positive,true,false
CRV00040,CRT004,MOV0032,66,C+,"Cinderwake Signal: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-01-16T06:10:00Z,mixed,false,false
CRV00041,CRT004,MOV0036,88,A-,Cinderwake Paradox: a confident action achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2020-08-09T03:36:56Z,positive,true,false
CRV00042,CRT004,MOV0119,82,B+,Novafield Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2012-01-17T11:00:07Z,positive,true,false
CRV00043,CRT004,MOV0090,72,B-,"Lumenward Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2017-03-28T01:43:24Z,mixed,true,false
CRV00044,CRT004,MOV0055,61,C,"Nimbria Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2022-01-24T02:50:04Z,mixed,false,false
CRV00045,CRT004,MOV0026,57,C-,Moonforge Paradox: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2005-09-10T17:28:34Z,negative,false,false
CRV00046,CRT004,MOV0157,88,A-,Amber Circuit Chronicle: a confident documentary achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2002-03-18T02:46:51Z,positive,true,false
CRV00047,CRT004,MOV0199,60,C,"Crimson Harbor Reverie: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2008-10-23T16:39:08Z,mixed,false,false
CRV00048,CRT004,MOV0028,61,C,"Moonforge Constellation: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-10-09T10:54:54Z,mixed,false,false
CRV00049,CRT004,MOV0072,97,A+,Echohaven Signal: a confident comedy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2024-07-19T17:30:58Z,positive,true,true
CRV00050,CRT004,MOV0175,93,A,Winter Atlas Garden: a confident romance achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2024-02-07T18:32:47Z,positive,true,true
CRV00051,CRT004,MOV0190,78,B,"Jade Frequency Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2000-08-19T01:52:40Z,mixed,true,false
CRV00052,CRT004,MOV0193,56,C-,Crimson Harbor Voyage: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2012-04-09T04:39:56Z,negative,false,false
CRV00053,CRT005,MOV0001,85,A-,Asterfall Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2025-09-28T23:40:34Z,positive,true,false
