movie_id,title,title_ko,release_date,release_year,primary_genre,secondary_genre,production_country,original_language,runtime_minutes,content_rating,director_name,studio_name,production_budget_usd,box_office_usd,platform_release_date,is_platform_original,synopsis
MOV0001,Asterfall Archive,별비: 기록,2014-05-30,2014,Drama,Horror,GB,en,142,ALL,Ari Voss,Copper Kite Media,25670451,114664007,2023-10-28,false,"별비: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0002,Asterfall Signal,별비: 신호,1999-06-26,1999,Comedy,Drama,CA,en,103,12+,Mina Calder,Northstar Fiction,30994648,165910898,2025-06-19,false,"별비: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0003,Asterfall Voyage,별비: 항해,1996-06-05,1996,Thriller,Horror,BR,pt,113,7+,Jun Ren,Mosaic Frame Lab,14729246,23058305,2025-10-23,false,"별비: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0004,Asterfall Protocol,별비: 규약,2004-04-17,2004,Science Fiction,Documentary,JP,ja,129,12+,Lea Mirel,Blue Lantern Works,44258735,236411499,2023-03-01,false,"별비: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0005,Asterfall Garden,별비: 정원,2019-06-20,2019,Romance,Horror,DE,de,100,7+,Tomas Vale,Blue Lantern Works,34940610,85493704,2023-10-03,false,"별비: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0006,Asterfall Paradox,별비: 역설,2008-05-04,2008,Action,Comedy,IN,hi,145,7+,Nora Kwon,Copper Kite Media,42081710,88301833,2022-08-03,false,"별비: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0007,Asterfall Chronicle,별비: 연대기,2008-02-22,2008,Documentary,Animation,US,en,94,7+,Ishan Sarin,Orbit Pine Studio,6377014,12894627,2024-09-05,false,"별비: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0008,Asterfall Constellation,별비: 별자리,2020-06-28,2020,Animation,Science Fiction,FR,fr,86,ALL,Sora Neri,Mosaic Frame Lab,40307812,53677609,2026-01-30,false,"별비: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0009,Asterfall Reverie,별비: 몽상,2024-10-11,2024,Fantasy,Science Fiction,AU,en,137,ALL,Theo Alden,Mosaic Frame Lab,45741341,90122543,2025-07-27,false,"별비: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0010,Asterfall Crossing,별비: 교차점,2004-06-17,2004,Horror,Drama,KR,ko,129,7+,Aya Bora,Riverglass Pictures,34340687,63483968,2022-03-24,false,"별비: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0011,Velora Archive,푸른 궤도: 기록,2015-05-27,2015,Drama,Thriller,FR,fr,111,15+,Mina Ren,Copper Kite Media,9376596,9914957,2021-06-15,false,"푸른 궤도: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0012,Velora Signal,푸른 궤도: 신호,1996-07-02,1996,Comedy,Romance,AU,en,135,18+,Jun Mirel,Cloudberry Films,51349442,123460637,2023-01-08,false,"푸른 궤도: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0013,Velora Voyage,푸른 궤도: 항해,2008-12-28,2008,Thriller,Romance,KR,ko,140,ALL,Lea Vale,Mosaic Frame Lab,40872554,138915709,2021-12-02,false,"푸른 궤도: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0014,Velora Protocol,푸른 궤도: 규약,2007-06-17,2007,Science Fiction,Fantasy,GB,en,136,12+,Tomas Kwon,Mosaic Frame Lab,18457833,39594964,2023-08-13,false,"푸른 궤도: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0015,Velora Garden,푸른 궤도: 정원,2019-02-06,2019,Romance,Documentary,CA,en,156,12+,Nora Sarin,Quiet Comet Studio,49493867,167976810,2025-02-23,false,"푸른 궤도: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0016,Velora Paradox,푸른 궤도: 역설,2008-06-16,2008,Action,Romance,BR,pt,143,12+,Ishan Neri,Northstar Fiction,18283436,53427172,2024-09-12,false,"푸른 궤도: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0017,Velora Chronicle,푸른 궤도: 연대기,2019-04-24,2019,Documentary,Action,JP,ja,103,15+,Sora Alden,Blue Lantern Works,5623822,17474184,2024-03-05,false,"푸른 궤도: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0018,Velora Constellation,푸른 궤도: 별자리,1998-07-30,1998,Animation,Drama,DE,de,115,15+,Theo Bora,Riverglass Pictures,134160515,780956383,2022-08-15,false,"푸른 궤도: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0019,Velora Reverie,푸른 궤도: 몽상,2001-02-15,2001,Fantasy,Action,IN,hi,97,12+,Aya Voss,Quiet Comet Studio,35888869,64318613,2023-01-03,false,"푸른 궤도: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
